run_id,epochs,batch_size,model_size,precision,recall,f1_score,tiger_false_positives,tiger_total,tiger_accuracy,single_cheetah_correct,single_cheetah_total,single_cheetah_accuracy,multi_cheetah_correct,multi_cheetah_total,multi_cheetah_accuracy,total_errors,test_mean_confidence,test_std_confidence,test_images_with_detections,test_total_images,test_detection_rate,val_mAP50,val_precision,val_recall
run_20251020_104356,3,12,n,0.125,0.02564102564102564,0.0425531914893617,7,9,0.2222222222222222,0,37,0.0,1,1,1.0,44,0.5702723087148464,0.15394239884190478,45,47,0.9574468085106383,0.01199,0.02087,0.375
run_20251020_104829,5,12,n,0.18181818181818182,0.05128205128205128,0.08,9,9,0.0,1,37,0.02702702702702703,1,1,1.0,45,0.5127319940861236,0.10754560072417087,47,47,1.0,0.48305,0.51244,0.45833
run_20251020_105139,10,12,n,0.7037037037037037,0.48717948717948717,0.5757575757575758,8,9,0.1111111111111111,19,37,0.5135135135135135,0,1,0.0,27,0.5357044066520448,0.18753513804006375,45,47,0.9574468085106383,0.58915,0.5993,0.70833
run_20251020_105602,15,12,n,0.7567567567567568,0.717948717948718,0.736842105263158,9,9,0.0,28,37,0.7567567567567568,0,1,0.0,19,0.6027538446669883,0.148182046399145,46,47,0.9787234042553191,0.76832,0.75403,0.79167
run_20251020_110045,20,12,n,0.8095238095238095,0.8717948717948718,0.8395061728395062,8,9,0.1111111111111111,33,37,0.8918918918918919,1,1,1.0,12,0.6425980849468962,0.14812122386796736,46,47,0.9787234042553191,0.89346,0.97792,0.83333
run_20251020_110640,30,12,n,0.813953488372093,0.8974358974358975,0.8536585365853658,8,9,0.1111111111111111,34,37,0.918918918918919,1,1,1.0,11,0.5938947714389639,0.17877020464939988,45,47,0.9574468085106383,0.9247,0.9908,0.91667
run_20251020_111350,40,12,n,0.7906976744186046,0.8717948717948718,0.8292682926829267,9,9,0.0,33,37,0.8918918918918919,1,1,1.0,13,0.6985371702529014,0.15941129116261263,46,47,0.9787234042553191,0.92257,0.93845,0.91667
run_20251020_112246,50,12,n,0.7714285714285715,0.6923076923076923,0.7297297297297296,8,9,0.1111111111111111,26,37,0.7027027027027027,1,1,1.0,19,0.5748622835950649,0.21414554328507263,43,47,0.9148936170212766,0.88669,0.99274,0.83333
